library,download_month,country,system_name,python_version,downloads
plotly,2017-01,IE,Linux,3,254.667
plotly,2018-09,AU,Linux,3,980.6790000000001
plotly,2017-01,JP,Linux,3,57.56399999999999
plotly,2018-05,US,Darwin,3,955.617
plotly,2017-04,JP,Linux,3,243.25
plotly,2018-05,US,Windows,3,1145.925
plotly,2018-07,US,Windows,3,1189.38
plotly,2018-11,DK,Linux,3,1342.6
plotly,2017-01,US,Windows,3,753.294
plotly,2017-02,IE,Linux,3,404.93299999999994
plotly,2017-09,SG,Linux,3,46.13
plotly,2018-07,US,Darwin,3,922.516
plotly,2018-06,US,Windows,3,1144.503
plotly,2017-07,DE,Linux,3,445.68700000000007
plotly,2017-05,JP,Linux,3,187.488
plotly,2018-11,GB,Windows,3,1166.4
plotly,2018-01,GB,Linux,3,348.77700000000004
plotly,2018-12,None,Darwin,3,1018.395
plotly,2018-07,KR,Linux,3,1199.504
plotly,2018-10,CH,Linux,3,1037.575
plotly,2017-01,IN,Linux,3,94.171
plotly,2018-10,GB,Windows,3,1103.198
plotly,2017-01,HK,Linux,3,10.647
plotly,2018-03,IN,Windows,3,949.4
plotly,2018-12,CA,Linux,3,820.4
plotly,2018-03,GB,Linux,3,296.296
plotly,2018-11,AP,Linux,3,195.56399999999996
plotly,2018-11,DE,Windows,3,993.8760000000001
plotly,2018-12,None,Linux,3,781.632
plotly,2018-02,FR,Linux,3,831.186
plotly,2017-03,GB,Linux,3,328.5
plotly,2018-06,JP,Linux,3,915.6
plotly,2018-12,CN,Windows,3,998.3639999999999
plotly,2018-11,RU,Linux,3,891.048
plotly,2018-05,JP,Linux,3,815.0740000000001
plotly,2018-04,GB,Linux,3,328.624
plotly,2018-07,IN,Windows,3,970.725
plotly,2017-05,AU,Linux,3,61.218
plotly,2018-04,None,Windows,3,926.862
plotly,2018-08,GB,Windows,3,950.16
plotly,2017-03,HK,Linux,3,24.471999999999998
plotly,2017-12,IN,Windows,3,783.34
plotly,2017-10,FR,Linux,3,496.434
plotly,2018-07,EU,Linux,3,100.035
plotly,2018-04,IN,Windows,3,870.057
plotly,2017-04,GB,Linux,3,312.0
plotly,2017-12,None,Windows,3,837.7629999999999
plotly,2018-06,US,Darwin,3,713.452
plotly,2018-09,EU,Linux,3,450.26399999999995
plotly,2018-06,KR,Linux,3,970.28
plotly,2018-10,RU,Linux,3,881.888
plotly,2018-09,GB,Windows,3,910.455
plotly,2017-05,DE,Linux,3,356.883
plotly,2017-08,SG,Linux,3,85.255
plotly,2018-03,None,Windows,3,865.7280000000001
plotly,2018-11,CN,Linux,3,631.101
plotly,2017-07,None,Linux,3,572.544
plotly,2018-01,IN,Windows,3,796.23
plotly,2017-06,DE,Linux,3,386.12
plotly,2017-02,AU,Linux,3,105.73200000000001
plotly,2018-04,IN,Linux,3,689.592
plotly,2017-02,HK,Linux,3,30.163
